Movie;Month;Day;Release Year;Budget($M);Domestic Gross($M);Worldwide Gross($M);Votes;Rating
Lone Survivor;Dec;25;2013;40;125.095601;149.804632;94605;7.7
42;Apr;12;2013;40;95.020213;97.470701;47205;7.6
Escape From Planet Earth;Feb;15;2013;40;57.012977;74.15661;14763;5.9
Grudge Match;Dec;25;2013;40;29.80726;69.80726;22662;6.5
Paranoia;Aug;16;2013;40;7.388654;16.173593;17235;5.6
Yi dai zong shi;Aug;23;2013;38.6;6.594959;57.987299;16817;6.5
Riddick;Sep;6;2013;38;42.025135;94.763758;82581;6.4
Rush;Sep;20;2013;38;26.947624;98.230839;5033;6.7
We're the Millers;Aug;7;2013;37;150.394119;267.816276;192887;7.1
Identity Thief;Feb;8;2013;35;134.50692;175.361578;68607;5.7
Saving Mr. Banks;Dec;13;2013;35;83.299761;114.962525;60267;7.6
Broken City;Jan;18;2013;35;19.701164;34.480045;48077;6.2
Parker;Jan;25;2013;35;17.616641;48.543388;62618;6.2
Mandela: Long Walk to Freedom;Nov;29;2013;35;8.323085;27.480015;10989;7.1
The Big Wedding;Apr;26;2013;32.5;21.819348;48.425971;25263;5.6
This is the End;Jun;12;2013;32;101.470202;126.539117;205501;6.8
The Incredible Burt Wonderstone;Mar;15;2013;32;22.537881;27.392609;46606;5.9
Warm Bodies;Feb;1;2013;30;66.380662;115.121608;135689;7
The Family;Sep;13;2013;30;36.918811;51.078541;56126;6.4
Carrie;Oct;18;2013;30;35.266619;82.40952;1260;7.5
Side Effects;Feb;8;2013;30;32.172757;66.742138;841;4.9
Runner Runner;Oct;4;2013;30;19.316646;60.51268;34930;5.6
The Last Stand;Jan;18;2013;30;12.050299;48.330757;88721;6.4
Dead Man Down;Mar;8;2013;30;10.895295;19.599974;42010;6.5
Space Pirate Captain Harlock;Dec;31;2013;30;0;0.14349;2738;6.5
Safe Haven;Feb;14;2013;28;71.39912;94.050951;44956;6.7
Last Vegas;Jan;28;2013;28;63.914167;112.914167;66480;6.7
Kick-Ass 2;Aug;16;2013;28;28.795985;63.129909;122563;6.8
Pain & Gain;Apr;26;2013;26;49.875291;81.275291;105999;6.5
The Fifth Estate;Oct;18;2013;26;3.254172;6.154172;15760;6.1
August: Osage County;Dec;25;2013;25;37.73881;50.73881;36761;7.4
The Counselor;Oct;25;2013;25;16.973715;71.009334;49393;5.4
Her;Dec;18;2013;23;25.568251;48.78309;142368;8.2
Delivery Man;Nov;22;2013;22;30.659817;70.53687;29805;6.4
Homefront;Nov;27;2013;22;20.158492;51.695362;41724;6.5
Out of the Furnace;Dec;4;2013;22;11.330849;15.434375;41492;6.8
Metegol;Dec;31;2013;22;0;30.051905;2539;7.3
The Conjuring;Jul;19;2013;20;137.400141;318.000141;176313;7.6
12 Years a Slave;Oct;18;2013;20;56.671993;181.025343;200928;8.2
Texas Chainsaw 3D;Jan;4;2013;20;34.341945;47.666013;25936;4.8
The World's End;Aug;23;2013;20;26.004851;47.508505;106937;7
Battle of the Year;Sep;20;2013;20;8.888355;16.723377;5375;4.8
Machete Kills;Oct;11;2013;20;8.008161;18.273009;34923;5.7
The Frozen Ground;Aug;23;2013;19.2;0;5.61746;26819;6.4
The Book Thief;Nov;8;2013;19;21.488481;76.086711;46643;7.6
Blue Jasmine;Jul;26;2013;18;33.404871;102.912961;87426;7.4
Jobs;Aug;16;2013;18;16.13141;26.13141;50380;5.9
Getaway;Aug;30;2013;18;10.501938;11.813989;12394;4.3
Metallica Through the Never;Sep;27;2013;18;3.419967;9.082906;8778;7.4
Phantom;Mar;1;2013;18;1.034589;1.19951;847;7.1
Black Nativity;Nov;27;2013;17.5;7.018188;7.285135;910;3.9
The Best Man Holiday;Nov;15;2013;17;70.525195;72.83571;7478;6.7
Evil Dead;Apr;5;2013;17;54.239856;97.778356;91913;6.5
Trance;Apr;5;2013;16;2.322593;22.594052;1071;4.2
Zulu;Dec;31;2013;16;0;1.844228;24646;7.8
Jackass Presents: Bad Grandpa;Oct;25;2013;15;102.003019;160.903019;54599;6.7
Mama;Jan;18;2013;15;71.62818;148.095566;90249;6.3
Snitch;Feb;22;2013;15;42.930462;57.907734;1227;6.7
The Place Beyond the Pines;Mar;29;2013;15;21.403519;47.011449;133098;7.4
Peeples;May;10;2013;15;9.177065;9.307166;2994;5.1
The Reluctant Fundamentalist;Apr;26;2013;15;0.528731;0.528731;6802;6.9
Khumba;Dec;6;2013;15;0;20.898221;1808;5.9
Admission;Mar;22;2013;13;18.007317;18.733666;20118;5.7
The Call;Mar;15;2013;12.8;51.872378;69.821476;64126;6.7
Philomena;Nov;22;2013;12;37.709979;98.963392;39133;7.7
Nebraska;Nov;15;2013;12;17.654912;24.76136;48560;7.8
About Time;Nov;1;2013;12;15.323921;89.177486;103613;7.8
La grande bellezza;Nov;15;2013;12;2.883879;29.549145;28224;7.7
Stoker;Mar;1;2013;12;1.703125;12.079308;62019;6.9
Quartet;Jan;11;2013;11;18.388357;56.178935;701;6.4
Inside Llewyn Davis;Dec;6;2013;11;13.248209;32.943247;46771;7.6
The Last Days on Mars;Dec;6;2013;10.6;0.024084;0.261364;16432;5.5
One Direction: This is Us;Aug;30;2013;10;28.873374;68.541786;19156;3.9
Mud;Apr;26;2013;10;21.590086;31.556959;81686;7.5
Movie 43;Jan;25;2013;10;8.840453;31.164747;58096;4.4
The Iceman;May;3;2013;10;1.930282;3.623609;37734;6.9
Baggage Claim;Sep;27;2013;8.5;21.569509;22.885836;3638;4.9
All is Lost;Oct;18;2013;8.5;6.26367;10.29201;33357;6.9
Yeh Jawaani Hai Deewani;May;31;2013;8.3;3.827466;50.827466;12963;6.7
Enough Said;Sep;18;2013;8;17.550872;22.850872;27920;7.1
Twixt;Jul;23;2013;7;0;1.268346;6316;4.9
The East;May;31;2013;6.5;2.274649;3.027956;28176;6.9
Don Jon;Sep;27;2013;5.5;24.477704;41.268579;119412;6.7
Grabbers;Jul;19;2013;5.3;0;0.440821;8828;6.2
No se Aceptan Devoluciones;Aug;30;2013;5;44.467206;100.486616;13280;7.7
Dallas Buyers Club;Nov;1;2013;5;27.298285;60.611845;159683;8
The Way Way Back;Jul;5;2013;5;21.50269;26.85381;73805;7.4
Spring Breakers;Mar;15;2013;5;14.124286;31.149251;81365;5.3
Ain't Them Bodies Saints;Aug;16;2013;5;0.391611;0.74048;10105;6.5
Only God Forgives;Jul;19;2013;4.8;0.775849;4.49456;56903;5.8
The Sweeney;Mar;1;2013;4.5;0.026345;7.838405;12938;6.2
Hansel & Gretel Get Baked;Jun;25;2013;4.5;0;0;1981;4.3
The Last Exorcism Part II;Mar;1;2013;4;15.179303;25.448707;9990;3.9
Inescapable;Feb;22;2013;4;0.004327;0.004327;1536;5.1
Geograf globus propil;Dec;31;2013;4;0;4.454853;1250;7.6
Dark Skies;Feb;22;2013;3.5;17.418667;27.704111;39608;6.3
Batman: The Dark Knight Returns, Part 2;Jan;29;2013;3.5;0;0;13399;8.3
Jagten;May;17;2013;3.45;0.687185;18.309793;91007;8.3
Antiviral;Apr;12;2013;3.1;0;0.123407;6771;5.6
The Purge;Jun;7;2013;3;64.473115;91.265155;73500;5.5
Before Midnight;May;24;2013;3;8.110621;23.376973;54504;8
Frances Ha;May;17;2013;3;4.067398;11.267511;23391;7.5
Open Road;May;21;2013;3;0;0.047469;948;5.4
30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo;Jan;15;2013;3;0;0;2466;2.7
A Haunted House;Jan;11;2013;2.5;40.041683;59.922558;24673;5
